question,answer
How do I reset my password?,Visit the IT portal and select Forgot Password.
Where is the registrar office?,The registrar office is located in Building MB room 210.
How do I pay tuition?,Tuition can be paid online through the finance portal.
How do I contact technical support?,Email support@concordia.ca.
What are the library hours?,The library is open from 8 AM to 10 PM.
How do I register for courses?,Log into the student portal and open course registration.
How can I apply for scholarships?,Visit the scholarships section on the university website.
How do I get a student ID?,Visit the student services office in JW McConnell Building with a valid photo ID.
What is the deadline to drop a course?,The course drop deadline is the end of week 4 of the semester.
How do I access my grades?,Log into the student portal and navigate to Academic.
Where can I find mental health support?,Contact the wellness centre located in Hall Building room 105.
How do I request a transcript?,Submit a transcript request through the registrar portal online.
What happens if I miss an exam?,Contact your professor immediately and submit a medical note.
How do I appeal a grade?,Submit a grade appeal form through the registrar office within 10 days.
How do I connect to campus WiFi?,Select ConcordiaWifi and log in with your student credentials.
